Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
CMBEBWHT,Brugges Wheat Price,Commodity Prices,Belgium Franc (Euro from 01/01/1999),Belgium,,,,,,,National Currency,Units,Stock,none,Quarterly From Nov 1348 To May 1801<BR>,,,Currency converted to USD using Belgium Franc per US Dollar (USDBEF)
Date,Ticker,Open,High,Low,Close,Volume,Openint
11/11/1348,CMBEBWHT,,,,37,,
02/02/1349,CMBEBWHT,,,,31,,
05/15/1349,CMBEBWHT,,,,32,,
11/11/1349,CMBEBWHT,,,,36,,
11/11/1350,CMBEBWHT,,,,33,,
02/02/1351,CMBEBWHT,,,,33,,
05/15/1351,CMBEBWHT,,,,31,,
11/11/1351,CMBEBWHT,,,,50,,
02/02/1352,CMBEBWHT,,,,52,,
05/15/1352,CMBEBWHT,,,,52,,
11/11/1352,CMBEBWHT,,,,37,,
02/02/1353,CMBEBWHT,,,,29,,
05/15/1353,CMBEBWHT,,,,23,,
11/11/1353,CMBEBWHT,,,,27,,
02/02/1354,CMBEBWHT,,,,24,,
05/15/1354,CMBEBWHT,,,,24,,
11/11/1354,CMBEBWHT,,,,32,,
02/02/1355,CMBEBWHT,,,,28,,
05/15/1355,CMBEBWHT,,,,30,,
11/11/1355,CMBEBWHT,,,,44,,
02/02/1356,CMBEBWHT,,,,34,,
05/15/1356,CMBEBWHT,,,,44,,
11/11/1356,CMBEBWHT,,,,47,,
02/02/1357,CMBEBWHT,,,,40,,
05/15/1357,CMBEBWHT,,,,43,,
11/11/1357,CMBEBWHT,,,,63,,
02/02/1358,CMBEBWHT,,,,60,,
05/15/1358,CMBEBWHT,,,,57,,
11/11/1358,CMBEBWHT,,,,44,,
02/02/1359,CMBEBWHT,,,,46,,
05/15/1359,CMBEBWHT,,,,49,,
11/11/1359,CMBEBWHT,,,,58,,
02/02/1360,CMBEBWHT,,,,58,,
05/15/1360,CMBEBWHT,,,,64,,
11/11/1360,CMBEBWHT,,,,74,,
02/02/1361,CMBEBWHT,,,,80,,
05/15/1361,CMBEBWHT,,,,78,,
11/11/1361,CMBEBWHT,,,,38,,
02/02/1362,CMBEBWHT,,,,30,,
05/15/1362,CMBEBWHT,,,,24,,
11/11/1362,CMBEBWHT,,,,42,,
02/02/1363,CMBEBWHT,,,,38,,
05/15/1363,CMBEBWHT,,,,44,,
11/11/1363,CMBEBWHT,,,,64,,
02/02/1364,CMBEBWHT,,,,66,,
05/15/1364,CMBEBWHT,,,,66,,
11/11/1364,CMBEBWHT,,,,58,,
02/02/1365,CMBEBWHT,,,,59,,
05/15/1365,CMBEBWHT,,,,50,,
11/11/1365,CMBEBWHT,,,,55,,
02/02/1366,CMBEBWHT,,,,58,,
05/15/1366,CMBEBWHT,,,,62,,
11/11/1366,CMBEBWHT,,,,64,,
02/02/1367,CMBEBWHT,,,,58,,
05/15/1367,CMBEBWHT,,,,66,,
11/11/1367,CMBEBWHT,,,,74,,
02/02/1368,CMBEBWHT,,,,68,,
05/15/1368,CMBEBWHT,,,,72,,
11/11/1368,CMBEBWHT,,,,54,,
02/02/1369,CMBEBWHT,,,,50,,
05/15/1369,CMBEBWHT,,,,52,,
11/11/1369,CMBEBWHT,,,,80,,
05/15/1370,CMBEBWHT,,,,90,,
11/11/1370,CMBEBWHT,,,,78,,
02/02/1371,CMBEBWHT,,,,78,,
05/15/1371,CMBEBWHT,,,,60,,
11/11/1371,CMBEBWHT,,,,54,,
02/02/1372,CMBEBWHT,,,,53,,
05/15/1372,CMBEBWHT,,,,56,,
11/11/1372,CMBEBWHT,,,,60,,
02/02/1373,CMBEBWHT,,,,54,,
05/15/1373,CMBEBWHT,,,,48,,
11/11/1373,CMBEBWHT,,,,52,,
02/02/1374,CMBEBWHT,,,,50,,
05/15/1374,CMBEBWHT,,,,50,,
11/11/1374,CMBEBWHT,,,,70,,
02/02/1375,CMBEBWHT,,,,76,,
05/15/1375,CMBEBWHT,,,,70,,
11/11/1375,CMBEBWHT,,,,56,,
02/02/1376,CMBEBWHT,,,,50,,
05/15/1376,CMBEBWHT,,,,50,,
11/11/1376,CMBEBWHT,,,,56,,
02/02/1377,CMBEBWHT,,,,50,,
05/15/1377,CMBEBWHT,,,,48,,
11/11/1377,CMBEBWHT,,,,58,,
02/02/1378,CMBEBWHT,,,,56,,
05/15/1378,CMBEBWHT,,,,52,,
11/11/1378,CMBEBWHT,,,,52,,
02/02/1379,CMBEBWHT,,,,46,,
05/15/1379,CMBEBWHT,,,,42,,
11/11/1379,CMBEBWHT,,,,56,,
02/02/1380,CMBEBWHT,,,,48,,
05/15/1380,CMBEBWHT,,,,48,,
11/11/1380,CMBEBWHT,,,,54,,
02/02/1381,CMBEBWHT,,,,48,,
05/15/1381,CMBEBWHT,,,,51,,
11/11/1381,CMBEBWHT,,,,60,,
02/02/1382,CMBEBWHT,,,,68,,
05/15/1382,CMBEBWHT,,,,72,,
11/11/1382,CMBEBWHT,,,,76,,
02/02/1383,CMBEBWHT,,,,60,,
05/15/1383,CMBEBWHT,,,,60,,
11/11/1383,CMBEBWHT,,,,56,,
02/02/1384,CMBEBWHT,,,,52,,
05/15/1384,CMBEBWHT,,,,46,,
11/11/1384,CMBEBWHT,,,,48,,
02/02/1385,CMBEBWHT,,,,52,,
05/15/1385,CMBEBWHT,,,,60,,
11/11/1385,CMBEBWHT,,,,64,,
02/02/1386,CMBEBWHT,,,,64,,
05/15/1386,CMBEBWHT,,,,60,,
11/11/1386,CMBEBWHT,,,,66,,
02/02/1387,CMBEBWHT,,,,66,,
05/15/1387,CMBEBWHT,,,,60,,
11/11/1387,CMBEBWHT,,,,48,,
02/02/1388,CMBEBWHT,,,,50,,
05/15/1388,CMBEBWHT,,,,48,,
11/11/1388,CMBEBWHT,,,,60,,
02/02/1389,CMBEBWHT,,,,60,,
05/15/1389,CMBEBWHT,,,,54,,
11/11/1389,CMBEBWHT,,,,66,,
02/02/1390,CMBEBWHT,,,,72,,
05/15/1390,CMBEBWHT,,,,72,,
11/11/1390,CMBEBWHT,,,,50,,
02/02/1391,CMBEBWHT,,,,52,,
05/15/1391,CMBEBWHT,,,,52,,
11/11/1391,CMBEBWHT,,,,46,,
02/02/1392,CMBEBWHT,,,,40,,
11/11/1392,CMBEBWHT,,,,30,,
02/02/1393,CMBEBWHT,,,,28,,
05/15/1393,CMBEBWHT,,,,22,,
11/11/1393,CMBEBWHT,,,,42,,
02/02/1394,CMBEBWHT,,,,38,,
05/15/1394,CMBEBWHT,,,,34,,
11/11/1394,CMBEBWHT,,,,34,,
02/02/1395,CMBEBWHT,,,,29,,
11/11/1395,CMBEBWHT,,,,44,,
02/02/1396,CMBEBWHT,,,,46,,
05/15/1396,CMBEBWHT,,,,44,,
11/11/1396,CMBEBWHT,,,,48,,
02/02/1397,CMBEBWHT,,,,54,,
02/02/1398,CMBEBWHT,,,,36,,
05/15/1398,CMBEBWHT,,,,34,,
11/11/1398,CMBEBWHT,,,,34,,
02/02/1399,CMBEBWHT,,,,32,,
05/15/1399,CMBEBWHT,,,,36,,
11/11/1399,CMBEBWHT,,,,48,,
02/02/1400,CMBEBWHT,,,,48,,
05/15/1400,CMBEBWHT,,,,48,,
11/11/1400,CMBEBWHT,,,,46,,
02/02/1401,CMBEBWHT,,,,46,,
05/15/1401,CMBEBWHT,,,,50,,
11/11/1401,CMBEBWHT,,,,64,,
02/02/1402,CMBEBWHT,,,,58,,
05/15/1402,CMBEBWHT,,,,64,,
11/11/1402,CMBEBWHT,,,,66,,
02/02/1403,CMBEBWHT,,,,66,,
05/15/1403,CMBEBWHT,,,,62,,
11/11/1403,CMBEBWHT,,,,36,,
02/02/1404,CMBEBWHT,,,,34,,
05/15/1404,CMBEBWHT,,,,34,,
11/11/1404,CMBEBWHT,,,,40,,
02/02/1405,CMBEBWHT,,,,42,,
05/15/1405,CMBEBWHT,,,,42,,
11/11/1405,CMBEBWHT,,,,40,,
02/02/1406,CMBEBWHT,,,,38,,
05/15/1406,CMBEBWHT,,,,34,,
11/11/1406,CMBEBWHT,,,,50,,
02/02/1407,CMBEBWHT,,,,50,,
05/15/1407,CMBEBWHT,,,,48,,
11/11/1407,CMBEBWHT,,,,60,,
02/02/1408,CMBEBWHT,,,,56,,
05/15/1408,CMBEBWHT,,,,62,,
11/11/1408,CMBEBWHT,,,,76,,
02/02/1409,CMBEBWHT,,,,80,,
05/15/1409,CMBEBWHT,,,,88,,
11/11/1409,CMBEBWHT,,,,72,,
02/02/1410,CMBEBWHT,,,,72,,
05/15/1410,CMBEBWHT,,,,68,,
11/11/1410,CMBEBWHT,,,,44,,
02/02/1411,CMBEBWHT,,,,42,,
05/15/1411,CMBEBWHT,,,,36,,
11/11/1411,CMBEBWHT,,,,46,,
02/02/1412,CMBEBWHT,,,,42,,
05/15/1412,CMBEBWHT,,,,40,,
11/11/1412,CMBEBWHT,,,,48,,
02/02/1413,CMBEBWHT,,,,48,,
05/15/1413,CMBEBWHT,,,,48,,
11/11/1413,CMBEBWHT,,,,46,,
02/02/1414,CMBEBWHT,,,,48,,
05/15/1414,CMBEBWHT,,,,46,,
11/11/1414,CMBEBWHT,,,,40,,
05/15/1415,CMBEBWHT,,,,42,,
11/11/1415,CMBEBWHT,,,,64,,
02/02/1416,CMBEBWHT,,,,72,,
05/15/1416,CMBEBWHT,,,,90,,
11/11/1416,CMBEBWHT,,,,102,,
02/02/1417,CMBEBWHT,,,,108,,
05/15/1417,CMBEBWHT,,,,72,,
11/11/1417,CMBEBWHT,,,,44,,
02/02/1418,CMBEBWHT,,,,39,,
05/15/1418,CMBEBWHT,,,,32,,
11/11/1418,CMBEBWHT,,,,35,,
02/02/1419,CMBEBWHT,,,,36,,
05/15/1419,CMBEBWHT,,,,34,,
11/11/1419,CMBEBWHT,,,,34,,
02/02/1420,CMBEBWHT,,,,32,,
05/15/1420,CMBEBWHT,,,,28,,
11/11/1420,CMBEBWHT,,,,44,,
02/02/1421,CMBEBWHT,,,,46,,
05/15/1421,CMBEBWHT,,,,58,,
11/11/1421,CMBEBWHT,,,,66,,
02/02/1422,CMBEBWHT,,,,66,,
05/15/1422,CMBEBWHT,,,,54,,
11/11/1422,CMBEBWHT,,,,50,,
02/02/1423,CMBEBWHT,,,,46,,
05/15/1423,CMBEBWHT,,,,46,,
11/11/1423,CMBEBWHT,,,,66,,
05/15/1424,CMBEBWHT,,,,56,,
11/11/1424,CMBEBWHT,,,,64,,
02/02/1425,CMBEBWHT,,,,64,,
05/15/1425,CMBEBWHT,,,,58,,
11/11/1425,CMBEBWHT,,,,56,,
02/02/1426,CMBEBWHT,,,,52,,
11/11/1426,CMBEBWHT,,,,54,,
02/02/1427,CMBEBWHT,,,,56,,
05/15/1427,CMBEBWHT,,,,66,,
11/11/1427,CMBEBWHT,,,,60,,
02/02/1428,CMBEBWHT,,,,48,,
05/15/1428,CMBEBWHT,,,,44,,
11/11/1428,CMBEBWHT,,,,58,,
02/02/1429,CMBEBWHT,,,,50,,
05/15/1429,CMBEBWHT,,,,60,,
11/11/1429,CMBEBWHT,,,,60,,
02/02/1430,CMBEBWHT,,,,56,,
11/11/1430,CMBEBWHT,,,,64,,
02/02/1431,CMBEBWHT,,,,80,,
05/15/1431,CMBEBWHT,,,,84,,
11/11/1431,CMBEBWHT,,,,56,,
02/02/1432,CMBEBWHT,,,,54,,
05/15/1432,CMBEBWHT,,,,62,,
11/11/1432,CMBEBWHT,,,,80,,
02/02/1433,CMBEBWHT,,,,102,,
05/15/1433,CMBEBWHT,,,,90,,
11/11/1433,CMBEBWHT,,,,65,,
02/02/1434,CMBEBWHT,,,,56,,
05/15/1434,CMBEBWHT,,,,46,,
11/11/1434,CMBEBWHT,,,,48,,
02/02/1435,CMBEBWHT,,,,44,,
05/15/1435,CMBEBWHT,,,,42,,
11/11/1435,CMBEBWHT,,,,42,,
02/02/1436,CMBEBWHT,,,,44,,
05/15/1436,CMBEBWHT,,,,42,,
11/11/1436,CMBEBWHT,,,,46,,
02/02/1437,CMBEBWHT,,,,52,,
05/15/1437,CMBEBWHT,,,,74,,
11/11/1437,CMBEBWHT,,,,120,,
02/02/1438,CMBEBWHT,,,,120,,
05/15/1438,CMBEBWHT,,,,120,,
11/11/1438,CMBEBWHT,,,,168,,
02/02/1439,CMBEBWHT,,,,144,,
05/15/1439,CMBEBWHT,,,,108,,
11/11/1439,CMBEBWHT,,,,72,,
02/02/1440,CMBEBWHT,,,,68,,
05/15/1440,CMBEBWHT,,,,68,,
11/11/1440,CMBEBWHT,,,,68,,
02/02/1441,CMBEBWHT,,,,58,,
05/15/1441,CMBEBWHT,,,,58,,
11/11/1441,CMBEBWHT,,,,62,,
02/02/1442,CMBEBWHT,,,,62,,
05/15/1442,CMBEBWHT,,,,62,,
11/11/1442,CMBEBWHT,,,,60,,
02/02/1443,CMBEBWHT,,,,62,,
05/15/1443,CMBEBWHT,,,,84,,
11/11/1443,CMBEBWHT,,,,50,,
02/02/1444,CMBEBWHT,,,,52,,
05/15/1444,CMBEBWHT,,,,42,,
11/11/1444,CMBEBWHT,,,,48,,
02/02/1445,CMBEBWHT,,,,44,,
05/15/1445,CMBEBWHT,,,,44,,
11/11/1445,CMBEBWHT,,,,46,,
02/02/1446,CMBEBWHT,,,,54,,
05/15/1446,CMBEBWHT,,,,49,,
11/11/1446,CMBEBWHT,,,,72,,
02/02/1447,CMBEBWHT,,,,66,,
05/15/1447,CMBEBWHT,,,,64,,
11/11/1447,CMBEBWHT,,,,48,,
02/02/1448,CMBEBWHT,,,,48,,
05/15/1448,CMBEBWHT,,,,42,,
11/11/1448,CMBEBWHT,,,,36,,
02/02/1449,CMBEBWHT,,,,36,,
05/15/1449,CMBEBWHT,,,,38,,
11/11/1449,CMBEBWHT,,,,48,,
02/02/1450,CMBEBWHT,,,,52,,
05/15/1450,CMBEBWHT,,,,48,,
11/11/1450,CMBEBWHT,,,,40,,
02/02/1451,CMBEBWHT,,,,46,,
05/15/1451,CMBEBWHT,,,,42,,
11/11/1451,CMBEBWHT,,,,42,,
02/02/1452,CMBEBWHT,,,,42,,
05/15/1452,CMBEBWHT,,,,44,,
11/11/1452,CMBEBWHT,,,,48,,
02/02/1453,CMBEBWHT,,,,48,,
05/15/1453,CMBEBWHT,,,,48,,
11/11/1453,CMBEBWHT,,,,46,,
02/02/1454,CMBEBWHT,,,,43,,
05/15/1454,CMBEBWHT,,,,42,,
11/11/1454,CMBEBWHT,,,,46,,
02/02/1455,CMBEBWHT,,,,48,,
05/15/1455,CMBEBWHT,,,,44,,
11/11/1455,CMBEBWHT,,,,84,,
02/02/1456,CMBEBWHT,,,,78,,
05/15/1456,CMBEBWHT,,,,82,,
11/11/1456,CMBEBWHT,,,,82,,
02/02/1457,CMBEBWHT,,,,82,,
05/15/1457,CMBEBWHT,,,,76,,
11/11/1457,CMBEBWHT,,,,80,,
02/02/1458,CMBEBWHT,,,,80,,
11/11/1458,CMBEBWHT,,,,48,,
05/15/1459,CMBEBWHT,,,,48,,
11/11/1459,CMBEBWHT,,,,60,,
02/02/1460,CMBEBWHT,,,,66,,
05/15/1460,CMBEBWHT,,,,86,,
11/11/1460,CMBEBWHT,,,,62,,
02/02/1461,CMBEBWHT,,,,62,,
05/15/1461,CMBEBWHT,,,,54,,
11/11/1461,CMBEBWHT,,,,48,,
02/02/1462,CMBEBWHT,,,,48,,
05/15/1462,CMBEBWHT,,,,44,,
11/11/1462,CMBEBWHT,,,,36,,
02/02/1463,CMBEBWHT,,,,34,,
05/15/1463,CMBEBWHT,,,,34,,
11/11/1463,CMBEBWHT,,,,30,,
02/02/1464,CMBEBWHT,,,,28,,
05/15/1464,CMBEBWHT,,,,23,,
11/11/1464,CMBEBWHT,,,,29,,
02/02/1465,CMBEBWHT,,,,32,,
05/15/1465,CMBEBWHT,,,,32,,
11/11/1465,CMBEBWHT,,,,42,,
02/02/1466,CMBEBWHT,,,,46,,
05/15/1466,CMBEBWHT,,,,42,,
11/11/1466,CMBEBWHT,,,,44,,
02/02/1467,CMBEBWHT,,,,48,,
05/15/1467,CMBEBWHT,,,,50,,
11/11/1467,CMBEBWHT,,,,50,,
02/02/1468,CMBEBWHT,,,,48,,
11/11/1468,CMBEBWHT,,,,54,,
02/02/1469,CMBEBWHT,,,,53,,
05/15/1469,CMBEBWHT,,,,46,,
11/11/1469,CMBEBWHT,,,,48,,
02/02/1470,CMBEBWHT,,,,45,,
11/11/1470,CMBEBWHT,,,,44,,
02/02/1471,CMBEBWHT,,,,52,,
05/15/1471,CMBEBWHT,,,,44,,
11/11/1471,CMBEBWHT,,,,42,,
02/02/1472,CMBEBWHT,,,,42,,
05/15/1472,CMBEBWHT,,,,42,,
05/15/1473,CMBEBWHT,,,,40,,
11/11/1473,CMBEBWHT,,,,54,,
02/02/1474,CMBEBWHT,,,,52,,
05/15/1474,CMBEBWHT,,,,50,,
11/11/1474,CMBEBWHT,,,,54,,
02/02/1475,CMBEBWHT,,,,60,,
05/15/1475,CMBEBWHT,,,,54,,
11/11/1475,CMBEBWHT,,,,48,,
02/02/1476,CMBEBWHT,,,,46,,
05/15/1476,CMBEBWHT,,,,48,,
11/11/1476,CMBEBWHT,,,,42,,
02/02/1477,CMBEBWHT,,,,48,,
05/15/1477,CMBEBWHT,,,,50,,
11/11/1477,CMBEBWHT,,,,90,,
02/02/1478,CMBEBWHT,,,,80,,
05/15/1478,CMBEBWHT,,,,74,,
11/11/1478,CMBEBWHT,,,,78,,
02/02/1480,CMBEBWHT,,,,72,,
05/15/1480,CMBEBWHT,,,,72,,
11/11/1480,CMBEBWHT,,,,72,,
02/02/1481,CMBEBWHT,,,,72,,
05/15/1481,CMBEBWHT,,,,108,,
11/11/1481,CMBEBWHT,,,,144,,
02/02/1482,CMBEBWHT,,,,144,,
05/15/1482,CMBEBWHT,,,,132,,
11/11/1482,CMBEBWHT,,,,180,,
02/02/1483,CMBEBWHT,,,,144,,
05/15/1483,CMBEBWHT,,,,144,,
11/11/1483,CMBEBWHT,,,,66,,
02/02/1484,CMBEBWHT,,,,60,,
05/15/1484,CMBEBWHT,,,,52,,
11/11/1484,CMBEBWHT,,,,54,,
02/02/1485,CMBEBWHT,,,,48,,
05/15/1485,CMBEBWHT,,,,48,,
11/11/1485,CMBEBWHT,,,,72,,
02/02/1486,CMBEBWHT,,,,72,,
05/15/1486,CMBEBWHT,,,,72,,
11/11/1486,CMBEBWHT,,,,80,,
02/02/1487,CMBEBWHT,,,,96,,
05/15/1487,CMBEBWHT,,,,96,,
11/11/1487,CMBEBWHT,,,,84,,
02/02/1488,CMBEBWHT,,,,90,,
05/15/1488,CMBEBWHT,,,,96,,
11/11/1488,CMBEBWHT,,,,84,,
02/02/1489,CMBEBWHT,,,,96,,
05/15/1489,CMBEBWHT,,,,84,,
11/11/1489,CMBEBWHT,,,,108,,
02/02/1490,CMBEBWHT,,,,96,,
05/15/1490,CMBEBWHT,,,,108,,
11/11/1490,CMBEBWHT,,,,288,,
02/02/1491,CMBEBWHT,,,,72,,
05/15/1491,CMBEBWHT,,,,120,,
11/11/1491,CMBEBWHT,,,,96,,
02/02/1492,CMBEBWHT,,,,90,,
05/15/1492,CMBEBWHT,,,,122,,
11/11/1492,CMBEBWHT,,,,100,,
02/02/1493,CMBEBWHT,,,,72,,
05/15/1493,CMBEBWHT,,,,66,,
11/11/1493,CMBEBWHT,,,,54,,
02/02/1494,CMBEBWHT,,,,48,,
05/15/1494,CMBEBWHT,,,,42,,
11/11/1494,CMBEBWHT,,,,50,,
02/02/1495,CMBEBWHT,,,,38,,
05/15/1495,CMBEBWHT,,,,35,,
11/11/1495,CMBEBWHT,,,,32,,
02/02/1496,CMBEBWHT,,,,30,,
05/15/1496,CMBEBWHT,,,,40,,
11/11/1496,CMBEBWHT,,,,31,,
02/02/1497,CMBEBWHT,,,,36,,
05/15/1497,CMBEBWHT,,,,40,,
11/11/1497,CMBEBWHT,,,,43,,
